식당명,주소,수집여부
합천일류돼지국밥,사상구 광장로 34,True
신창국밥 본점,서구 보수대로 53,True
쌍둥이돼지국밥 본점,남구 유엔평화로 35-1,True
60년 전통 할매국밥,동구 중앙대로533번길 4,True
몽실종가돼지국밥 감천문화마을 본점,"서구 까치고개로 197번길 3, 1층",True
영진돼지국밥 본점,사하구 하신번영로157번길 39,True
합천국밥집,남구 용호로 235,True
정짓간 돼지국밥 & 막국수,사하구 비봉로 6 1층,True
우리돼지국밥,동구 초량로 27-1,True
수복돼지국밥,연제구 고분로 41-1 2층,True
부광돼지국밥전문점,중구 대청로 141번길 15-1,True
두번째 늘해랑,부산진구 양지로 5번길 24,True
재기돼지국밥,영도구 절영로 49번길 25,True
자매국밥,수영구 민락본동로27번길 56,True
송정3대국밥,부산 부산진구 서면로68번길 33,True
원산순대돼지국밥,부산광역시 기장군 기장읍 차성남로 58,True
오가네국밥,부산광역시 기장군 기장읍 차성로334번길 5,True
바보국밥1호점,부산광역시 기장군 기장읍 차성로344번길 32 1층,True
세화돼지국밥,부산광역시 남구 고동골로78번길67,True
수라국밥,부산광역시 남구 용소로8번길21,True
영진돼지국밥,부산광역시 강서구 명지오션시티8로 31,True
마루돼지국밥,부산광역시 금정구 개좌로 59-12,True
장수돼지국밥,부산광역시 금정구 금정로237번길 12,True
합천돼지국밥,부산광역시 금정구 서금로 17,True
경주박가국밥,부산광역시 동래구 사직북로13번길 12,True
병천순대국밥,부산광역시 동래구 안연로 109,True
또랑돼지국밥,부산광역시 동래구 충렬대로359번길 12,True
밀양삼대국밥,부산광역시 동래구 충렬대로359번길 23,True
백양돼지국밥,부산광역시 부산진구 백양관문로 84 3층,True
장수국밥,부산광역시 부산진구 새싹로29번길 8,True
교통부돼지국밥,부산광역시 부산진구 연지로 12-1 1층,True
재민국밥,부산광역시 동래구 명륜로98번길 66,True
초량돼지국밥,부산 동구 중앙대로214번길 3-12,True
사천돼지국밥,부산 수영구 수영성로 20 부산 수영구 수영동 142-1,True
연창돼지국밥,부산광역시 영도구 중리북로 8,True
하동돼지국밥,부산 북구 만덕대로 68,True
정아밀면돼지국밥,부산광역시 동구 중앙대로251번길 18,True
부원돼지국밥,부산광역시 동래구 여고로91번길 90,True
터줏집돼지국밥,부산광역시 금정구 부산대학로49번길 13,True
장미돼지국밥,"부산 사하구 오작로8번안길 7 부산 사하구 괴정동 450-1 , B101호",True
이가네돼지국밥,부산시 기장군 기장읍 읍내로 103-1,True
명지돼지국밥,부산시 강서구 명지오션시티8로6번길 13,True
경주전통돼지국밥,부산시 북구 만덕2로44번길43,True
돌고래돼지국밥,부산시 남구 용소로 21번길 3,True
장원돼지국밥,부산시 동구 고관로 129-1,True
형제돼지국밥,부산광역시 남구 용소로13번길 29-1,True
수백한상,부산광역시 해운대구 구남로8번길 86,True
남해돼지국밥,부산광역시 해운대구 선수촌로 184,True
시골돼지국밥,부산시 남구 석포로20번길4,True
시골돼지국밥,부산광역시 사하구 괴정로43번길 23,True
